,Date time,Volume (MV),Light_Level (Ohms),Temperature-DHT (Celsius),Pressure (Hectopascal),Temperature-BMP (Celsius),Relative_Humidity (%),Carbon_Monoxide (Ohms),Nitrogen_Dioxide (Ohms),Air_Quality (Ohms),AirQuality_Predicted_LR (ohms),AirQuality_Predicted_RF (ohms),AirQuality_Predicted_XGboost (ohms)
6178,2017-06-16 11:20:49,106.4516129,6791.213684,33.99500008,1020.036441,32.155,27.03000011,534664.2412,40977.79146,45411.45317,32979.61553536903,33720.95421474928,33646.2578125
6179,2017-06-16 11:25:49,98.22580645,4634.4500450000005,33.93500099,1020.033427,32.14,26.93999977,529681.7402,40222.13899,45364.74633,40224.504998278455,43730.40631115603,43450.43359375
6180,2017-06-16 11:30:50,125.32258059999998,5691.574915,33.86000061,1020.018858,32.135,26.90499964,536299.8570000001,41164.388269999996,45438.01119,39764.303324616194,42587.70256654601,42650.0703125
6181,2017-06-16 11:35:50,222.0967742,3371.628844,33.91000118,1020.0716070000001,32.12,26.94499979,537605.3148,41499.60373,45551.57449,42160.052755857934,43036.30777833217,43419.19140625
6182,2017-06-16 11:40:50,152.2580645,6631.984431,34.13499928,1020.1268689999999,32.31,26.92499971,521926.1004,40175.01737,45324.86982,41101.59065426054,38659.99703452927,39006.83203125
6183,2017-06-16 11:45:50,228.2258065,4775.282469,34.04499931,1020.156007,32.16,27.14500055,524991.4474,40348.33378,45364.77265,42395.83341506173,44601.04624866704,44265.1640625
6184,2017-06-16 11:50:51,189.19354840000003,6348.6046289999995,33.99000015,1020.2745679999999,32.095,27.00000029,527113.0355,40744.8459,45444.6836,41517.067265338876,39918.83676977342,39972.94921875
6185,2017-06-16 11:55:51,160.483871,7702.1796939999995,33.93000107,1020.4298029999999,32.085,26.86499996,530760.8436,40898.31113,45531.45136,38266.39056045396,40336.81081089633,40605.3671875
6186,2017-06-16 12:00:51,90.80645161,5364.195347,33.86500072,1020.496116,32.005,27.08500013,528501.6966,40833.41291,45351.55913,36292.77952162412,36099.761836687074,36169.46875
6187,2017-06-16 12:05:51,97.90322581,5046.7269,33.89500141,1020.4926,31.92,27.30499983,526916.4139,40607.01369,45066.76837,34403.212874790246,33982.17383829796,34534.27734375
